step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
20200,0.140471,3.00e-04,1650,51511.0,0.9757,13.66,0.3321
20300,0.136248,3.00e-04,1653,51766.8,0.9764,13.66,0.3614
20400,0.135811,3.00e-04,1654,52022.4,0.9762,13.66,0.3581
20500,0.124604,3.00e-04,1655,52278.1,0.9775,13.66,0.3656
20600,0.120252,3.00e-04,1656,52533.9,0.9784,13.66,0.3328
20700,0.127890,3.00e-04,1657,52789.8,0.9770,13.66,0.3421
20800,0.121624,3.00e-04,1658,53045.7,0.9780,13.66,0.3434
20900,0.117162,3.00e-04,1658,53301.6,0.9789,13.66,0.3456
21000,0.125143,3.00e-04,1659,53557.3,0.9774,13.66,0.4428
21100,0.116479,3.00e-04,1660,53813.3,0.9788,13.66,0.3547
21200,0.111544,3.00e-04,1660,54069.2,0.9797,13.66,0.3512
21300,0.132628,3.00e-04,1660,54325.2,0.9762,13.66,0.3797
21400,0.131835,3.00e-04,1661,54581.3,0.9765,13.66,0.3799
21500,0.121096,3.00e-04,1661,54837.2,0.9780,13.66,0.3501
21600,0.130998,3.00e-04,1661,55093.2,0.9763,13.66,0.4060
21700,0.129788,3.00e-04,1661,55349.1,0.9763,13.66,0.3880
21800,0.118414,3.00e-04,1661,55605.1,0.9781,13.66,0.3424
21900,0.126342,3.00e-04,1661,55860.9,0.9767,13.66,0.3840
22000,0.130356,3.00e-04,1661,56116.3,0.9764,13.66,0.3790
22100,0.121415,3.00e-04,1660,56371.0,0.9776,13.66,0.3752
22200,0.123394,3.00e-04,1661,56625.5,0.9770,13.66,0.3550
22300,0.128481,3.00e-04,1661,56880.1,0.9763,13.66,0.3766
22400,0.122791,3.00e-04,1662,57135.0,0.9773,13.66,0.3446
22500,0.124026,3.00e-04,1662,57389.9,0.9769,13.66,0.3760
22600,0.135596,3.00e-04,1662,57644.7,0.9755,13.66,0.3978
22700,0.117726,3.00e-04,1663,57899.2,0.9782,13.66,0.3521
22800,0.115911,3.00e-04,1663,58153.8,0.9785,13.66,0.3684
22900,0.134438,3.00e-04,1663,58408.5,0.9757,13.66,0.4383
23000,0.121622,3.00e-04,1663,58663.1,0.9775,13.66,0.3561
23100,0.123002,3.00e-04,1663,58917.2,0.9771,13.66,0.3857
23200,0.144619,3.00e-04,1663,59171.0,0.9745,13.66,0.4308
23300,0.133283,3.00e-04,1664,59424.7,0.9760,13.66,0.3849
23400,0.131249,3.00e-04,1665,59678.2,0.9765,13.66,0.4127
23500,0.129969,3.00e-04,1665,59931.6,0.9765,13.66,0.3789
23600,0.125012,3.00e-04,1666,60184.8,0.9773,13.66,0.3736
23700,0.118084,3.00e-04,1666,60437.9,0.9783,13.66,0.4094
23800,0.128111,3.00e-04,1666,60691.0,0.9765,13.66,0.3761
24000,0.121856,3.00e-04,1666,61197.1,0.9779,13.66,0.3764
24200,0.121525,3.00e-04,1666,61703.1,0.9776,13.66,0.3809
24300,0.118021,3.00e-04,1665,61956.0,0.9782,13.66,0.3515
24400,0.116339,3.00e-04,1665,62208.8,0.9784,13.66,0.3635
24500,0.106398,3.00e-04,1665,62461.4,0.9791,13.66,0.3319
24600,0.104126,3.00e-04,1664,62714.0,0.9793,13.66,0.3549
24700,0.108273,3.00e-04,1664,62966.7,0.9787,13.66,0.3795
24800,0.114876,3.00e-04,1663,63219.4,0.9783,13.66,0.3873
24900,0.112005,3.00e-04,1663,63472.0,0.9785,13.66,0.3445
25000,0.112503,3.00e-04,1662,63724.6,0.9785,13.66,0.3607
25100,0.150400,3.00e-04,1662,63979.5,0.9736,13.66,0.4028
25200,0.134332,3.00e-04,1662,64231.8,0.9763,13.66,0.3774
25300,0.128692,3.00e-04,1662,64484.3,0.9769,13.66,0.3912
25400,0.138654,3.00e-04,1662,64736.5,0.9753,13.66,0.3933
25500,0.122138,3.00e-04,1662,64989.0,0.9778,13.66,0.3829
25600,0.122253,3.00e-04,1662,65241.6,0.9779,13.66,0.3623
25700,0.125092,3.00e-04,1662,65493.9,0.9778,13.66,0.3692
25800,0.125850,3.00e-04,1661,65746.2,0.9776,13.66,0.4090
25900,0.117626,3.00e-04,1661,65998.5,0.9788,13.66,0.3610
26000,0.118774,3.00e-04,1661,66250.7,0.9783,13.66,0.3511
26100,0.116754,3.00e-04,1661,66503.0,0.9789,13.66,0.3745
26200,0.110576,3.00e-04,1661,66755.2,0.9798,13.66,0.3531
26300,0.114735,3.00e-04,1661,67007.3,0.9789,13.66,0.3579
26400,0.113259,3.00e-04,1661,67259.5,0.9791,13.66,0.3355
26500,0.109731,3.00e-04,1661,67511.6,0.9797,13.66,0.3501
26600,0.116798,3.00e-04,1661,67763.7,0.9787,13.66,0.3737
26700,0.122023,3.00e-04,1662,68015.7,0.9782,13.66,0.4037
26800,0.118304,3.00e-04,1662,68267.6,0.9785,13.66,0.3795
26900,0.123291,3.00e-04,1662,68519.7,0.9777,13.66,0.3659
27000,0.126436,3.00e-04,1662,68771.7,0.9778,13.66,0.3887
27100,0.119017,3.00e-04,1662,69023.5,0.9784,13.66,0.3885
27200,0.116242,3.00e-04,1662,69275.3,0.9791,13.66,0.3710
27300,0.121297,3.00e-04,1662,69526.9,0.9778,13.66,0.3919
27400,0.113454,3.00e-04,1662,69778.7,0.9792,13.66,0.3530
27500,0.107537,3.00e-04,1662,70030.4,0.9802,13.66,0.3289
27600,0.113990,3.00e-04,1662,70282.0,0.9792,13.66,0.3583
27700,0.113311,3.00e-04,1662,70533.7,0.9795,13.66,0.3760
27800,0.107679,3.00e-04,1662,70785.3,0.9802,13.66,0.3648
28000,0.110650,3.00e-04,1662,71288.4,0.9798,13.66,0.3979
28100,0.103373,3.00e-04,1662,71539.9,0.9809,13.66,0.3756
28200,0.126804,3.00e-04,1662,71791.2,0.9768,13.66,0.3594
28300,0.122516,3.00e-04,1663,72042.6,0.9773,13.66,0.4013
28400,0.111098,3.00e-04,1663,72294.0,0.9791,13.66,0.3518
28500,0.117060,3.00e-04,1664,72545.5,0.9783,13.66,0.3669
28600,0.115085,3.00e-04,1664,72797.2,0.9788,13.66,0.3745
28700,0.112138,3.00e-04,1665,73048.6,0.9792,13.66,0.3660
28800,0.113516,3.00e-04,1665,73299.9,0.9789,13.66,0.3468
28900,0.113872,3.00e-04,1665,73551.2,0.9789,13.66,0.3606
29000,0.106948,3.00e-04,1666,73802.3,0.9798,13.66,0.3410
29100,0.112122,3.00e-04,1666,74053.5,0.9790,13.66,0.3544
29200,0.108744,3.00e-04,1667,74304.7,0.9798,13.66,0.3252
29300,0.109020,3.00e-04,1667,74555.8,0.9800,13.66,0.3284
29400,0.111789,3.00e-04,1668,74806.9,0.9795,13.66,0.3378
29500,0.113084,3.00e-04,1668,75058.0,0.9793,13.66,0.3511
29600,0.113049,3.00e-04,1669,75309.1,0.9795,13.66,0.3464
29700,0.109866,3.00e-04,1669,75560.1,0.9796,13.66,0.3372
29800,0.113150,3.00e-04,1670,75811.0,0.9793,13.66,0.3672
29900,0.109618,3.00e-04,1670,76062.1,0.9796,13.66,0.3310
30100,0.113173,3.00e-04,1671,76573.7,0.9792,13.66,0.3506
30200,0.106233,3.00e-04,1672,76824.4,0.9806,13.66,0.3485
30300,0.105335,3.00e-04,1672,77075.1,0.9807,13.66,0.3381
30400,0.114321,3.00e-04,1673,77325.9,0.9790,13.66,0.3341
30500,0.108278,3.00e-04,1673,77576.5,0.9802,13.66,0.3376
30600,0.107730,3.00e-04,1674,77827.2,0.9799,13.66,0.3364
30700,0.107660,3.00e-04,1674,78077.7,0.9801,13.66,0.3258
30800,0.105367,3.00e-04,1675,78328.0,0.9805,13.66,0.3123
30900,0.107455,3.00e-04,1675,78578.5,0.9804,13.66,0.3383
31000,0.108926,3.00e-04,1676,78828.9,0.9802,13.66,0.3273
31100,0.110406,3.00e-04,1676,79080.1,0.9798,13.66,0.3287
31200,0.105018,3.00e-04,1677,79332.2,0.9807,13.66,0.3163
31300,0.105945,3.00e-04,1677,79584.6,0.9811,13.66,0.3421
31400,0.102108,3.00e-04,1677,79837.0,0.9820,13.66,0.3088
31500,0.100133,3.00e-04,1678,80089.2,0.9822,13.66,0.3373
31600,0.104457,3.00e-04,1679,80341.4,0.9817,13.66,0.3306
31700,0.106242,3.00e-04,1679,80593.8,0.9816,13.66,0.3120
31800,0.101743,3.00e-04,1680,80846.4,0.9819,13.66,0.3275
31900,0.098040,3.00e-04,1680,81099.3,0.9826,13.66,0.3061
32000,0.105461,3.00e-04,1681,81352.1,0.9820,13.66,0.3590
32100,0.101390,3.00e-04,1681,81604.9,0.9824,13.66,0.3342
32200,0.098213,3.00e-04,1682,81857.4,0.9826,13.66,0.3204
32300,0.106355,3.00e-04,1682,82110.1,0.9813,13.66,0.3365
32400,0.098321,3.00e-04,1683,82363.1,0.9829,13.66,0.3339
32500,0.094568,3.00e-04,1683,82615.5,0.9829,13.66,0.3250
32700,0.104944,3.00e-04,1684,83120.9,0.9817,13.66,0.3575
32800,0.099001,3.00e-04,1685,83373.2,0.9828,13.66,0.3516
32900,0.100817,3.00e-04,1685,83626.0,0.9820,13.66,0.3422
33000,0.096726,3.00e-04,1685,83879.1,0.9829,13.66,0.3590
33100,0.094672,3.00e-04,1686,84131.6,0.9830,13.66,0.3253
