step,loss,lr,tokens_per_sec,elapsed_sec
27700,3.470631,1.00e-04,23540,5130.5
27800,3.427726,1.00e-04,23538,5149.0
27900,3.489196,1.00e-04,23537,5167.5
28000,3.395452,1.00e-04,23538,5186.0
28100,3.279491,1.00e-04,23537,5204.4
28200,3.535540,1.00e-04,23542,5222.9
28300,3.528344,1.00e-04,23546,5241.4
28400,3.470377,1.00e-04,23551,5259.9
28500,3.479005,1.00e-04,23556,5278.3
28600,3.436848,1.00e-04,23561,5296.8
28700,3.416404,1.00e-04,23568,5315.3
28800,3.439302,1.00e-04,23572,5333.7
28900,3.371746,1.00e-04,23577,5352.2
29000,3.379160,1.00e-04,23581,5370.7
29100,3.324750,1.00e-04,23586,5389.2
29200,3.322261,1.00e-04,23591,5407.6
29300,3.316392,1.00e-04,23597,5426.1
29400,3.314878,1.00e-04,23602,5444.6
29500,3.366820,1.00e-04,23608,5463.1
29600,3.302812,1.00e-04,23615,5481.5
29700,3.321640,1.00e-04,23623,5500.0
29800,3.330861,1.00e-04,23630,5518.5
29900,3.289950,1.00e-04,23636,5537.0
30000,3.276454,1.00e-04,23643,5555.5
30100,3.349221,1.00e-04,23645,5574.3
30200,3.310960,1.00e-04,23651,5592.8
30300,3.272275,1.00e-04,23657,5611.3
30400,3.295301,1.00e-04,23663,5629.8
30500,3.259906,1.00e-04,23669,5648.3
30600,3.261887,1.00e-04,23675,5666.7
30700,3.274050,1.00e-04,23680,5685.2
30800,3.250093,1.00e-04,23686,5703.7
30900,3.209566,1.00e-04,23693,5722.2
31000,3.279353,1.00e-04,23698,5740.6
31100,3.263436,1.00e-04,23704,5759.1
31200,3.226129,1.00e-04,23710,5777.6
31300,3.344876,1.00e-04,23717,5796.1
31400,3.298781,1.00e-04,23723,5814.6
31500,3.261305,1.00e-04,23730,5833.0
31600,3.224326,1.00e-04,23736,5851.5
31700,3.218586,1.00e-04,23743,5870.0
31800,3.176563,1.00e-04,23750,5888.5
31900,3.159487,1.00e-04,23757,5906.9
32000,3.211736,1.00e-04,23763,5925.4
